cue,d_q,delta,delta_sd,delta_ci_lo,delta_ci_hi,n_pairs,n_clusters,n_generators,within_class_r,family,label
object_boundaries,0.1578180331106232,0.003413982646744894,0.02163239890559179,0.0018418314261397658,0.005042690204556288,1712,428,4,0.1520512752597997,other,crisp boundaries
glitch_artifacts,0.1423707264764655,0.0035759159285266707,0.02511693251152852,0.0016397513023727025,0.005477188890503062,1712,428,4,0.0855679536702395,other,no glitch artifacts
color_temperature,0.10675443611774542,0.00286890733038371,0.026873893345466526,0.0006929483237878489,0.005054428404969205,1712,428,4,0.0137982487944206,tone_color,warm tones
segmentation_errors,0.09174159289837891,0.002019362627162702,0.022011418849022232,0.00027945831949717823,0.0037013182524871,1712,428,4,0.1159692583964795,other,no segmentation errors
gamut_clipping,0.08454237150316689,0.0018572396445219583,0.02196815172676328,0.0001599320630646693,0.003464995952436997,1712,428,4,0.018062317745592,tone_color,no gamut clipping
vibrance,0.07871124201340046,0.0021819896589395328,0.02772144871717375,4.735371830295061e-06,0.0043516369031931295,1712,428,4,0.1248184128614796,tone_color,high vibrance
contrast,0.0741067948606875,0.0018844421281439163,0.02542873607860733,-3.07616198353739e-05,0.0038496658493981867,1712,428,4,-0.0116818945314638,tone_color,high contrast
style_consistency,0.061581369031585745,0.001546533470535115,0.025113658479107237,-0.0002695469247173095,0.0034295232261955825,1712,428,4,-0.0426024092153017,other,consistent visual style
edge_color_shading,0.05905105971178307,0.001524861821501864,0.02582276810855593,-0.0005124912668931318,0.0035772596647748664,1712,428,4,-0.0220623289808983,physics_optics,neutral edge color
detail_variation,0.057329176404371976,0.0014175325393395478,0.02472619751836249,-0.0004610097458617997,0.0032946428743940957,1712,428,4,0.0015816510705373,other,"depth aware detail
variation"
motion_freeze,0.04966199677197414,0.0011116780357118413,0.02238488397508811,-0.0007264388469647861,0.0028338265514044458,1712,428,4,-0.022408834107088,detail_texture,frozen motion
micro_contrast,0.04169088316050026,0.001049756938066547,0.02517953227388409,-0.0009604638581398468,0.003008363323219159,1712,428,4,-0.0411832699250075,detail_texture,crisp micro contrast
shadow_detail,0.026677313950048645,0.0005645662312578135,0.02116278394125148,-0.0011293499337548126,0.002286669836211244,1712,428,4,0.0470648103554153,tone_color,preserved shadows
chroma_noise,0.0200998283763811,0.00046550752500122575,0.023159776107751953,-0.0013924983704409854,0.0022490216791394343,1712,428,4,-0.0458976278443543,tone_color,low chroma noise
depth_cues,0.019254728917804276,0.0005397363161264535,0.028031364057656268,-0.0017835919902936268,0.002852179893118125,1712,428,4,-0.0077988929900462,detail_texture,strong depth cues
logo_rendering,0.00226842151986389,6.315405970840784e-05,0.027840531028023936,-0.002178674128461493,0.002292635122901447,1712,428,4,-0.0431140310731741,other,authentic logo rendering
compression_artifacts,-0.0036922405367006274,-9.168434503944767e-05,0.024831628418601478,-0.002091143768579976,0.0018762298033169079,1712,428,4,-0.0798855688551271,detail_texture,no compression artifacts
cat_eye_bokeh,-0.008651808080050413,-0.0002156077104937607,0.024920537822714205,-0.0022526400264392533,0.0018537406133262509,1712,428,4,-0.0125697496747711,physics_optics,round edge highlights
fine_detail,-0.009854228563269677,-0.00022526635621034075,0.0228598671894004,-0.00210495109190603,0.0016134962184701086,1712,428,4,0.0207677936075836,other,organic micro detail
texture_detail,-0.014961713002834932,-0.0003583141648724135,0.02394873934585702,-0.0021707715396713087,0.0015375229234095495,1712,428,4,0.0360732848631121,detail_texture,rich texture detail
fisheye_effect,-0.033084450027247955,-0.000764037273551001,0.023093546149981308,-0.0025583144569113606,0.0009883524048470576,1712,428,4,-0.0938545553951683,physics_optics,no fisheye effect
lens_dirt,-0.038875583507599315,-0.0010483929056091196,0.026967901469676515,-0.003140092025158866,0.0010714384525009476,1712,428,4,-0.0876180146948389,other,subtle lens dust specks
scene_textures,-0.04937163967809021,-0.0011432861864254548,0.02315673925111331,-0.003009302536879956,0.000681100189411867,1712,428,4,-0.0781254349787988,other,"rich stochastic scene
textures"
reflection_fresnel,-0.0537392380611481,-0.0011902775629837761,0.02214913359265345,-0.002852569817632546,0.0006543190280643402,1712,428,4,-0.0155009138643677,other,fresnel strength correct
coma_aberration,-0.057965212994756925,-0.0011734248792703867,0.020243605063204467,-0.002750103280859718,0.00036670828874501785,1712,428,4,0.0688954451055307,physics_optics,minimal coma
