dataset,split,source,attribute,n,q25,median,q75
synthbuster-plus,train,raise1k,quality,640,0.7768226705554138,0.8808735943313053,0.9386063772909526
synthbuster-plus,train,raise1k,realness,640,0.36031775408375233,0.5596944749313564,0.7632013549285195
synthbuster-plus,train,raise1k,relaxation,640,0.8528786379825721,0.9519208278154065,0.9860013015774293
synthbuster-plus,train,raise1k,scariness,640,0.06122273915127488,0.2334532376206635,0.6424824041361241
synthbuster-plus,train,raise1k,sharpness,640,0.734375168359591,0.8662087273373278,0.9467092399943368
synthbuster-plus,train,raise1k,warmness,640,0.3824737699158157,0.5716433826253348,0.7572341373763334
cnnspot,train,progan,beauty,2000,0.45832975958814604,0.7011996373930034,0.8956379089518549
cnnspot,train,progan,brightness,2000,0.16175923444354323,0.41760813485124304,0.7309915079133412
cnnspot,train,progan,colorfulness,2000,0.16764222905651283,0.42500761716889945,0.7326199331732439
cnnspot,train,progan,complexity,2000,0.44971162901725537,0.838298445602774,0.9798577411039642
cnnspot,train,progan,contrast,2000,0.25399954141745357,0.3713801412689678,0.5114367520796084
cnnspot,train,progan,happiness,2000,0.3575141451161543,0.6090912127500321,0.7928341647673564
cnnspot,train,progan,loneliness,2000,0.6365942305531327,0.847277292162784,0.9314929212382432
cnnspot,train,progan,naturalness,2000,0.04934790004750739,0.33372975143540884,0.852930589382718
cnnspot,train,progan,newness,2000,0.2572931502808007,0.4443878662609999,0.6224864837239958
cnnspot,train,progan,noisiness,2000,0.24657738538581453,0.6710773367107024,0.8954370930732782
cnnspot,train,progan,quality,2000,0.2869395474641018,0.5220153569202823,0.8434896074070407
cnnspot,train,progan,realness,2000,0.00011118936595132084,0.004865850344256532,0.23870826883950913
cnnspot,train,progan,relaxation,2000,0.6127479580354371,0.8522300011409945,0.9628990367355927
cnnspot,train,progan,scariness,2000,0.7596114675296198,0.9705435433745166,0.993811470894707
cnnspot,train,progan,sharpness,2000,0.12930189348951585,0.3176351354148312,0.6387257965450804
cnnspot,train,progan,warmness,2000,0.4740262671631469,0.6533813933586392,0.8021486638205044
